dataset,variant,seed,dcr,pairwise_correlation_diff,mae,mse,rmse,r2
obesity_reg,paft_anon_headers,42,0.68,0.557807693755424,17.171906403717404,469.3540098107945,21.66457961306414,0.3343543718132851
obesity_reg,paft_anon_headers,43,0.484,0.5728614440477852,15.83450041240142,424.46671207611524,20.602589936124907,0.38812738912343403
obesity_reg,paft_anon_headers,44,0.6,0.572390111055091,16.798366456918703,465.4540515130382,21.574384151419903,0.3301651373832778
obesity_reg,paft_anon_headers,45,0.582,0.5539000369323361,17.129284227637758,484.15492144475076,22.00352066022051,0.23583800024583745
obesity_reg,paft_anon_headers,46,0.605,0.5676273473302219,17.7804558062545,522.5823163350921,22.860059412326382,0.22986282328830898
obesity_reg,paft_anon_headers,47,0.525,0.5595480227359696,16.215484164110983,415.3684833442435,20.380590848752238,0.39710943504258933
obesity_reg,paft_anon_headers,48,0.529,0.5931232057480152,15.170996779124302,360.5697494417423,18.988674241287683,0.4590617016543763
obesity_reg,paft_anon_headers,49,0.688,0.5966912897657034,15.306549444654532,392.1654497290601,19.80316766906396,0.4012934008929476
obesity_reg,paft_anon_headers,50,0.523,0.5595013223822839,15.967613245024264,388.6660051805342,19.71461400029263,0.4402080184396153
obesity_reg,paft_anon_headers,51,0.677,0.5592813736553605,15.856066300475351,422.1184768482084,20.545522063170075,0.35207790911446835
