dataset,variant,seed,dcr,pairwise_correlation_diff,accuracy,f1,precision,recall,auc_roc
adult,paft_graph_orders,42,0.833,0.49481046951811714,0.7813691364163766,0.4441635061104088,0.6050516647531573,0.35086551264980026,0.7862353616056984
adult,paft_graph_orders,43,0.706,0.4979030640226079,0.756340129288911,0.6189735614307932,0.5067911714770797,0.7949400798934754,0.831949514235562
adult,paft_graph_orders,44,0.742,0.49327134853894145,0.7934692524448864,0.5485507246376812,0.6017488076311606,0.503994673768309,0.8245446151250991
adult,paft_graph_orders,45,0.695,0.522227286752559,0.7919774573180839,0.5798459993304319,0.5831649831649832,0.5765645805592543,0.8364656732243422
adult,paft_graph_orders,46,0.718,0.5069714016503837,0.7669484501906183,0.5291359678499665,0.532345013477089,0.525965379494008,0.8058035471574574
