dataset,seed,n_samples,synthetic_data_path,metrics_path,line_count,train_size,task_type,accuracy,f1,precision,recall,auc_roc,mae,mse,rmse,r2
anxiety,42,100,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n100/metrics.json,101,200,classification,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8624256689905171,,,,
anxiety,42,1000,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n1000/metrics.json,1001,1100,classification,0.7331818181818182,0.7331818181818182,0.7331818181818182,0.7331818181818182,0.8718331172987988,,,,
anxiety,42,200,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n200/metrics.json,201,300,classification,0.7413636363636363,0.7413636363636363,0.7413636363636363,0.7413636363636363,0.8744540023450348,,,,
anxiety,42,500,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_42/n500/metrics.json,501,600,classification,0.7318181818181818,0.7318181818181818,0.7318181818181818,0.7318181818181818,0.8681508315215986,,,,
anxiety,43,100,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n100/metrics.json,101,200,classification,0.7213636363636363,0.7213636363636363,0.7213636363636363,0.7213636363636363,0.8523515320925409,,,,
anxiety,43,1000,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n1000/metrics.json,1001,1100,classification,0.715,0.715,0.715,0.715,0.8542542082041474,,,,
anxiety,43,200,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n200/metrics.json,201,300,classification,0.7068181818181818,0.7068181818181818,0.7068181818181818,0.7068181818181818,0.8456973093471277,,,,
anxiety,43,500,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_43/n500/metrics.json,501,600,classification,0.7204545454545455,0.7204545454545455,0.7204545454545455,0.7204545454545455,0.850776990107894,,,,
anxiety,44,100,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n100/metrics.json,101,200,classification,0.7286363636363636,0.7286363636363636,0.7286363636363636,0.7286363636363636,0.8643841412188347,,,,
anxiety,44,1000,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/synthetic_data.csv,results/anxiety/100_shot/paft_fd_prior_deepseek-v4-flash/seed_44/n1000/metrics.json,1001,1100,classification,0.7086363636363636,0.7086363636363636,0.7086363636363636,0.7086363636363636,0.86065372136984,,,,
