dataset,variant,seed,dcr,pairwise_correlation_diff,accuracy,f1,precision,recall,auc_roc
churn,paft_graph_orders,42,0.571,0.554294902149079,0.9047619047619048,0.5714285714285714,0.975609756097561,0.40404040404040403,0.8962030854686223
churn,paft_graph_orders,43,0.685,0.5445557379900916,0.8492063492063492,0.5454545454545454,0.5181818181818182,0.5757575757575758,0.8395156841484526
churn,paft_graph_orders,44,0.639,0.5329700635226728,0.8698412698412699,0.6019417475728155,0.5794392523364486,0.6262626262626263,0.8748692195019879
churn,paft_graph_orders,45,0.7,0.5239961808429382,0.9031746031746032,0.6473988439306358,0.7567567567567568,0.5656565656565656,0.8972303068348266
churn,paft_graph_orders,46,0.662,0.5587562683651547,0.8873015873015873,0.6502463054187192,0.6346153846153846,0.6666666666666666,0.9165858205406229
