dataset,variant,seed,dcr,pairwise_correlation_diff,mae,mse,rmse,r2
obesity_reg,paft_full,42,0.643,0.5673265975437121,17.672958006937517,501.53143115857773,22.394897435768215,0.2887198200703307
obesity_reg,paft_full,43,0.471,0.5507411663156532,15.009891594410277,404.06951829653104,20.101480500115684,0.41753012874328777
obesity_reg,paft_full,44,0.571,0.569540122296763,17.203925791028897,459.77350671054165,21.442329787374824,0.3383400086407081
obesity_reg,paft_full,45,0.554,0.5632848879592471,17.175247700796138,468.95722909858995,21.65542031683038,0.2598251548950876
obesity_reg,paft_full,46,0.597,0.562515522610721,16.15522188906896,405.16758234633284,20.12877498374734,0.40289862819770117
obesity_reg,paft_full,47,0.515,0.5673172695477944,15.794569910404432,383.4079971820772,19.58080685727933,0.4434987889085463
obesity_reg,paft_full,48,0.518,0.5967604739736737,15.333567815502409,362.8200898632406,19.047836881473984,0.4556856688058404
obesity_reg,paft_full,49,0.658,0.5946820527784477,16.028006312832446,457.9673695885602,21.400172185955892,0.30083568927910165
obesity_reg,paft_full,50,0.499,0.562382651827775,16.0454781353324,390.92586014874894,19.771845137688818,0.43695317064270456
obesity_reg,paft_full,51,0.682,0.56580113180481,17.401963448393406,483.96753027440786,21.999262039314132,0.2571439741813044
